Address,Price,Size,Room Count
"Grünauer Straße 29, Köpenick, Berlin",1.999 €,"103,44 m²","<span class=""onlyLarge"">4</span>"
"Abendseglersteig 11, Rahnsdorf, Berlin",1.399 €,"89,7 m²","<span class=""onlyLarge"">4</span>"
"Kurfürstendamm 73, Charlottenburg, Berlin","1.363,63 €","73,71 m²","<span class=""onlyLarge"">2</span>"
"Unter den Eichen 96, Lichterfelde, Berlin",779 €,24 m²,"<span class=""onlyLarge"">1</span>"
"Breite Straße 42 B, Schmargendorf, Berlin",629 €,16 m²,"<span class=""onlyLarge"">1</span>"
"Jablonskistr.  37, Prenzlauer Berg, Berlin",1.460 €,"103,3 m²","<span class=""onlyLarge"">3</span>"
"Danziger Straße 73 (WE 045), Prenzlauer Berg, Berlin",2.599 €,"135,88 m²","<span class=""onlyLarge"">3</span>"
"Malchower Weg 8, Alt-Hohenschönhausen, Berlin",572 €,62 m²,"<span class=""onlyLarge"">2</span>"
"Krefelder Straße 22, Moabit, Berlin",1.300 €,140 m²,"<span class=""onlyLarge"">4</span>"
"Treptower Straße B 61, Neukölln (Ortsteil), Berlin",461 €,66 m²,"<span class=""onlyLarge"">3</span>"
"Nordufer B 6, Wedding, Berlin",520 €,50 m²,"<span class=""onlyLarge"">2</span>"
